ID,Municipality,Contract Type,Fund Source,Serial Number,Description,Year,Contract Awardee,Awardee Headquarters,Date Signed,Estimated Cost,Price,Annex,value,overun_%
306,PRISHTINE,Services,Not Provided,133,Hartimi I matjeve xheodezike per revidimin e planeve rregulluese-Faza e dyte Loto IX-te,2014,GEO KOS,Gjilan,19-Dec-14,0,"8,677.50",Not Provided,8677.5,0
311,FERIZAJ,Jobs,Not Provided,104,Mirembajtja e nxemjes qendrore ne ndertesen e Administrates Komunale dhe institucioneve tjera ne kuader te Komunes -Ferizaj,2014,TERMO COM NNP,Prishtine,25-Sep-14,"5,500","117,007.50",Not Provided,117007.5,20.27
312,FERIZAJ,Supply,Not Provided,138,"Asfaltimi I rruges ""Rahovice Mirash""",2014,EOROTRANS,Kacanik,10-Nov-14,"8,000","134,326.00",Not Provided,134326,15.79
314,FERIZAJ,Jobs,Not Provided,92,"Riparimi I kanalizimit fekal dhe gypsjellesit ne rr.""Parku Lirise""",2014,TOPALLI NPSH,Ferizaj,3-Sep-14,"1,000","9,928.20",Not Provided,9928.2,8.93
315,FERIZAJ,Jobs,Not Provided,78,"Riparimi I kanalizimit fekal ne fshatin Dubrave,Gurez,Bibaj dhe Greme",2014,BERISHA COMPANY SHA,Ferizaj,8-Aug-14,"1,000","9,884.50",Not Provided,9884.5,8.88
317,FERIZAJ,Services,Not Provided,115,Furnizim me lende djegese per ngrohje LOT-III-Briket,2014,BRIKET NTP,Ferizaj,14-Oct-14,"1,000","9,500.00",Not Provided,9500,8.5
322,FERIZAJ,Jobs,Not Provided,70,Asfaltimi i rruges ne Fshatin e Vjeter Lagja e Prelezeve dhe Gasheve,2014,STRASSEN & TIEFBAU NNP,Ferizaj,22-Jul-14,"8,000","57,049.90",Not Provided,57049.9,6.13
332,FERIZAJ,Supply,Not Provided,134,Asfaltimi I rruges ne fsh. Sazli-projekt dy vjeqar.,2014,ESKAVATORI COMPANY,Ferizaj,30-Oct-14,"85,000","243,642.00",Not Provided,243642,1.87
337,FERIZAJ,Jobs,Municipal Budget,42,Asfaltimi dhe kanalizimi atmosferik ne rrugen ''Enver TopalliÓ - projekt dyvjecar.,2014,BEGISHOLLI NTP,Ferizaj,27-May-14,"100,000","233,342.51",Not Provided,233342.51,1.33
350,VITI,Jobs,Not Provided,73,Rregullimi i parkut afer xhamise ne qytetin e Vitise dhe pune te tjera,2014,YLLI DEKOR,Viti,6-Nov-14,"4,500","9,477.00",0,9477,1.11
353,VITI,Jobs,Not Provided,34,Ndertimi kanalizimit te ujerave te zeza ne fshatrat Trestenik dhe Sodovine e _.,2014,BERISHA COMPANY SHA,Ferizaj,4-Aug-14,"160,000","298,982.73","27,548.50",326531.23,1.04
355,PRISHTINE,Jobs,Not Provided,97,"Punet shtese ne rekonstruimin e rr. ""H. Abdullahu"",F.Draga"" e M.Kokollari"",",2014,ALCON & ALBANIKU,Prishtine,1-Oct-14,"13,835","13,835.20","13,835.20",27670.4,1
357,PRISHTINE,Services,Not Provided,46,Kontrolli sanitar per stafin e Institucioneve Parashkollore,2014,INSTITUTI KOMB,Prishtine,Not Provided,"10,360","10,360.00","10,360.00",20720,1
358,PRISHTINE,Jobs,Not Provided,135,Punet shtese ne Ndertimin e rruges Bernice - e Eperme -Sharban,2014,BAGERI NPSH,Ferizaj,14-Oct-14,"62,408","62,408.46","62,408.00",124816.46,1
359,PRISHTINE,Jobs,Not Provided,154,Punet shtese ne Ndertimin e rruges Siqeve-Sharban,2014,PAPENBURG & ADRIANI,Ferizaj,11-Nov-14,"49,297","49,286.51","49,286.51",98573.02,1
365,VITI,Supply,Not Provided,63,Furnizimi me vetura per komunen e Vitise,2014,METALI,Viti,3-Nov-14,"15,000","29,000.00",0,29000,0.93
383,FERIZAJ,Services,Not Provided,109,Furnizim me pjese dhe mirembajtja e automjeteve te Aadministrates Komunale dhe institucioneve tjera qe funksionojne ne kuader te Komunes-Ferizaj,2014,EKLIPS DPZ,Ferizaj,8-Oct-14,"20,400","31,910.70",Not Provided,31910.7,0.56
384,VITI,Jobs,Not Provided,33,Ndertimi kanalizimit te ujerave te zeza ne fshatin Verban,2014,KUSHTRIMI NM & FLORING,Viti,10-Oct-14,"194,671","279,561.00","24,594.90",304155.9,0.56
390,PRISHTINE,Supply,Not Provided,132,Furnizimi me pelet per ngrohje per shkollat e Prishtines,2014,ARDA PELET,Prishtine,19-Dec-14,"98,650","148,580.00",Not Provided,148580,0.51
391,VITI,Jobs,Not Provided,43,Ndertimi i kanalizimit te ujerave te zeza ne fshatin Lubishte,2014,HAJRUSHI & AREA,Viti,18-Aug-14,"150,000","204,383.48","18,568.19",222951.67,0.49
392,VITI,Jobs,Not Provided,49,Ndertimi i kanalizimit te ujerave te zeza ne fshatin Stublla Eperme,2014,DIMI BAU,Lipjani,3-Oct-14,"150,000","222,422.05",0,222422.05,0.48
394,VITI,Jobs,Not Provided,26,Ndertimi i kanalizimit te ujerave te zeza ne fshatin Germove,2014,ENGEENERING,Viti,13-Jun-14,"80,000","106,721.59","10,504.70",117226.29,0.47
400,VITI,Supply,Not Provided,9,Furnizimi me perde dhe tepison,2014,VSA GROUP,Viti,27-Mar-14,"5,000","7,100.00",0,7100,0.42
402,VITI,Jobs,Not Provided,38,Ndertimi i objektit te ambulantes ne Pozheran,2014,ARCH NDERTIMI,Gjilan,27-Aug-14,"159,232","223,071.96",0,223071.96,0.4
404,PRISHTINE,Jobs,Not Provided,176,Ndertimi I stadiumit te futbollit ne fshatin Hajvali,2014,ZHVILLIMI,Podujeve,19-Dec-14,"70,000","96,954.14",Not Provided,96954.14,0.39
406,VITI,Jobs,Not Provided,44,"Ndertimi i rrethojes se shkolles fillore ""Dom M. Tarabulluzi"" ne Letnice",2014,ECO GJEO ING,Viti,21-Aug-14,"5,300","7,278.20",0,7278.2,0.37
412,VITI,Jobs,Not Provided,48,"Ndertimi i dy fushave te hapura sportive (LOT I , II)",2014,ATC COM NNP,Kacanik,15-Sep-14,"20,105","25,725.00",813,26538,0.32
416,VITI,Services,Not Provided,68,Mirmbajtja e automjeteve te komunes se Vitise,2014,GOLF,Viti,26-Nov-14,"114,000","147,058.00",0,147058,0.29
421,FERIZAJ,Jobs,Not Provided,65,"Asfaltimi i rruges ""Xheve Lladrovci""-Ferizaj-projekt 2(dy) vjeqar.",2014,RAHOVICA COMERC NTP,Ferizaj,15-Jul-14,"85,000","107,485.79",Not Provided,107485.79,0.26
423,PRISHTINE,Jobs,Not Provided,6,Pastrimi I mbetjeve ndertimore gjate vitit 2014-RITENDER,2014,MEGI BAU,Prishtine,10-Nov-14,"70,000","87,500.00",Not Provided,87500,0.25
425,FERIZAJ,Supply,Not Provided,136,Asfaltimi I rruges nga maxhistralja deri te shk. Fill .ne fsh. Talinovc Muhaxhereve-projekt dy vjeqar.,2014,ESKAVATORI COMPANY,Ferizaj,5-Nov-14,"80,000","99,746.15",Not Provided,99746.15,0.25
427,FERIZAJ,Supply,Not Provided,63,Furnizim i fermereve me zgjoje (sandek) te bleteve,2014,OMAD SHPK,Ferizaj,2-Jul-14,"25,000","30,800.00",Not Provided,30800,0.23
428,VITI,Jobs,Not Provided,21,Asfalltimi i rruges Pozheran- Sllatine e Poshtme,2014,PAPENBURG & ADRIANI,Ferizaj,6-Jun-14,"120,000","146,717.80",0,146717.8,0.22
429,PRISHTINE,Jobs,Not Provided,70,Ndertimi I salles se edukates fizike ne SHF. Shkendija ne Hajvali,2014,REXHA,Prishtine,1-Oct-14,"150,000","181,068.10",Not Provided,181068.1,0.21
432,VITI,Jobs,Not Provided,28,Ndertimi i kanalizimit te ujerave te zeza ne fshatin Gushice.,2014,KUSHTRIMI NM,Viti,7-Jul-14,"70,000","78,274.33","5,622.00",83896.33,0.2
433,FERIZAJ,Supply,Municipal Budget,31,Furnizimi i fermereve me fare misri.,2014,AGROMARKET KS,Prishtine,29-Apr-14,"32,000","38,320.00",Not Provided,38320,0.2
439,VITI,Services,Not Provided,1,"Pastrimi i rrugeve,trotareve dhe mirmbajtja e varrezave te deshmoreve, lumit dhe parkut ne komunen e Vitise",2014,ECO HIGJIENA,Gjilan,28-Feb-14,"34,000","39,420.87",0,39420.87,0.16
445,VITI,Supply,Not Provided,5,Publikimi i shpalljeve dhe njoftimeve ne gazeta,2014,GRUPI KOHA,Not Provided,5-Mar-14,"3,000","3,425.00",0,3425,0.14
447,PRISHTINE,Services,Not Provided,8,Hartimi I projekteve per disa rruge ne qytetin dhe ne fshatra te Komunes se Prishtines-LOT 2,2014,ENG IDEA,Suhareke,22-Apr-14,"2,000","2,272.00",Not Provided,2272,0.14
448,VITI,Supply,Not Provided,12,Furnizimi me reagenca laboratorike,2014,BIO LAB NTP,Gjilan,30-May-14,"20,000","22,569.07",0,22569.07,0.13
452,FERIZAJ,Services,Not Provided,94,Furnizim me elektromaterjalper nevoja te Komunes,2014,EL TRADE NTP,Ferizaj,8-Sep-14,"1,000","1,122.98",Not Provided,1122.98,0.12
462,FERIZAJ,Services,Municipal Budget,61,Aplikimi online per t'u paisur me dokumente nga Sektori i Gjendjes Civile.,2014,DATA PROGNET NSH,Ferizaj,1-Jul-14,"4,500","5,000.00",Not Provided,5000,0.11
463,FERIZAJ,Jobs,Not Provided,111,"Kanalizimi fekal,atmosferik dhe riasfaltim I rruges ""Rifat Berisha""",2014,BERISHA COMPANY SHA,Ferizaj,8-Oct-14,"85,000","94,219.33",Not Provided,94219.33,0.11
464,PRISHTINE,Jobs,Not Provided,69,Sinjalizimi horizontal dhe vertikal I rrugeve ne Prishtine,2014,RSM COMPANY,Prishtine,28-Aug-14,"190,000","209,939.50",Not Provided,209939.5,0.1
466,VITI,Jobs,Not Provided,66,"Ndertimi i shkolles fillore ""Njazi Rexhepi"" ne Sllatine te Eperme (faza IV)",2014,PRO&CO GROUP-VIZION PRJ,Viti,27-Oct-14,"47,861","52,764.98",0,52764.98,0.1
470,GJILAN,Jobs,Not Provided,72,Rregullimi I zyreve (sistem I hapur)on stop shop,2014,CDC SHPK,Gjilan,22-Sep-14,"30,964","30,963.67","3,096.36",34060.03,0.1
473,GJILAN,Jobs,Not Provided,21,Asfaltimi i rruges Lladove - Nasale,2014,TALI,Gjilan,23-May-14,"183,690","183,690.00","18,277.50",201967.5,0.1
474,VITI,Jobs,Not Provided,32,"Renovimi i fushes se futbollit ""2 Korriku"" ne fsh. Begunce",2014,ENGEENERING,Viti,30-Jun-14,"1,347","1,480.00",0,1480,0.1
482,VITI,Supply,Not Provided,51,Furnizimi montimi dhe riparimi i klimave per zyre te komunes,2014,BAGDAT NTSH,Viti,5-Sep-14,"1,380","1,510.00",0,1510,0.09
492,GJILAN,Jobs,Not Provided,22,Asfaltimi i rruges Pogragje - Bilinice,2014,PAPENBURG & ADRIANI,Ferizaj,27-May-14,"158,878","158,877.61","12,106.00",170983.61,0.08
500,VITI,Jobs,Not Provided,25,Ndertimi i kanalizimit te ujerave te zeza ne Fshatin e ri,2014,KUSHTRIMI NM,Viti,6-Jun-14,"65,000","69,177.89",0,69177.89,0.06
504,FERIZAJ,Services,Not Provided,116,Furnizim me lende djegese per ngrohje-LOT-I-Dru per djegie,2014,METI COMERC NPT,Ferizaj,14-Oct-14,"69,000","73,190.00",Not Provided,73190,0.06
505,FERIZAJ,Jobs,Not Provided,137,"Hapja e nje pusi(bunari) tek ""Varrezat e Deshmoreve"".",2014,BETONI & MB,Ferizaj,7-Nov-14,"1,200","1,271.25",Not Provided,1271.25,0.06
507,GJILAN,Jobs,Not Provided,26,"Asfaltimi i rruges ne lagjen Dardania rruga "" Ali Hadri""",2014,EUROTRANS,Gjilan,9-Jun-14,"45,535","45,535.35","2,529.00",48064.35,0.06
510,VITI,Supply,Not Provided,20,Furnizimi me Ipad dhe fotoaparate,2014,R SYSTEMS,Prishtine,6-May-14,"2,460","2,588.00",0,2588,0.05
514,GJILAN,Jobs,Not Provided,38,Eliminimi i deponive te egra ne komunen e Gjilanit,2014,EL BAU,Gjilan,13-Oct-14,"36,704","36,703.75","1,806.30",38510.05,0.05
516,PRISHTINE,Supply,Not Provided,29,Furnizimi me gjeneratore per objektin e zjarrefikesve Prishtina -2,2014,MGA,Prishtine,28-May-14,"10,000","10,450.00",Not Provided,10450,0.04
520,FERIZAJ,Jobs,Not Provided,96,Asfaltimi I rruges e Lgjen e _akoreve-pr dy vjecar,2014,STRASSEN & TIEFBAU NNP,Ferizaj,9-Sep-14,"70,000","72,891.30",Not Provided,72891.3,0.04
533,FERIZAJ,Supply,Municipal Budget,34,"Furnizim me nje veture (kombi) per dialize dhe nje autoambulance per nevoja te QKMF ne Ferizaj.
LLOT- I - Furnizimi me nje veture (kombi) per dialize QKMF-se Ferizaj
",2014,BAHOLLI SHPK,Prishtine,13-May-14,"32,000","32,985.00",Not Provided,32985,0.03
545,VITI,Jobs,Not Provided,29,Renovimi i objektit te QKMF-se - Emergjences ne Viti,2014,PRO CO GR &V.PROJEK,Viti,24-Sep-14,"128,693","119,698.08","11,939.00",131637.08,0.02
554,PRISHTINE,Services,Not Provided,3,Mirembajtja e ngrohjes qendrore ne institucionet komunes se prishtines,2014,TERMOKOS,Prishtine,13-Feb-14,"20,000",253,"20,000.00",20253,0.01
558,PRISHTINE,Services,Not Provided,47,Mirembajtja dhe servisimi I automjeteve - Loto V,2014,AGS,Komoran,20-Oct-14,"100,000","101,142.00",Not Provided,101142,0.01
562,FERIZAJ,Jobs,Municipal Budget plus Donation,2,Rregullimi i korridoreve te gjelbera - projekt dyvjecar i bashkefinancuar ne mes Komunes se Ferizajt dhe UN HABITAT.,2014,IDEALI NSHP,Ferizaj,9-Jan-14,"270,000","272,900.69",Not Provided,272900.69,0.01
564,VITI,Jobs,Not Provided,45,"Hapja dhe rregullimi i rruges ne lagjen Selmani,Neziri dhe _eliku ne fshatin Remnik",2014,CUFA COM,Viti,3-Sep-14,"2,000","2,020.50",0,2020.5,0.01
576,VITI,Supply,Not Provided,64,Furnizimi me makina mjelese per nevojat e fermereve,2014,AGRO PHARMA NTP,Viti,14-Oct-14,"9,900","9,949.00",0,9949,0
592,VITI,Supply,Not Provided,41,Furnizimi me material per zyre per te gjitha njesite shpenzuese te komunes,2014,EC ME KOHE,Viti,30-Jul-14,"9,900","9,912.00",0,9912,0
601,VITI,Supply,Not Provided,7,Furnizimi me material reklamues te gravuar dhe solemn per nevojat e komunes,2014,DESIGN PROJECT TECHNOLOGY,Prishtine,18-Mar-14,"9,900","9,903.00",0,9903,0
1243,GJAKOVE,Jobs,National Budget,14,"Aneks ""Ndertimi I infrastruktures rrugore ne ""Qarshine e madhe "" ne Gjakove"" (632-13-014-521)",2014,RSM COMPANY,Prishtine,28-Jun-13,"20,475",Not Provided,"20,475.00",20475,0
1387,HANI I ELEZIT,Services,Not Provided,Not Provided,"Mirembajtja dhe pastrimi I rrugeve te qytetit dhe te Institucioneve te Hanit te Elezit(Komuna, shkollat, QKMF, Zjarrfiksat etj)",2014,PASTERTIA NTSH,Hani I Elezit,1-Jan-14,"1,804","1,804.00",0,1804,0
1388,HANI I ELEZIT,Supply,Not Provided,Not Provided,"Furnizim me nafte per Komune, shkolla, QKMF, Zjarrfiksat dhe ngrohje qendrore",2014,BUBEARI KOMERC NPTSH,Kacanik,1-Jan-14,"17,972","17,972.09",0,17972.09,0
1389,HANI I ELEZIT,Supply,Not Provided,Not Provided,Furnizimi dhe mirembajtja e IT-se per nevoja te Komunave shkollave,2014,CETI COMPUTERS NSH,Hani I Elezit,1-Jan-14,"1,454","1,454.00",0,1454,0
1390,PRISHTINE,Services,Not Provided,1,Organizimi I tureneut ne shah dhe shpllja e sportistit te vitit 2013,2014,KLUBI I SHAHUT,Prishtine,29-Jan-14,"8,000","8,000.00",Not Provided,8000,0
1391,HANI I ELEZIT,Services,Not Provided,Not Provided,"Transporti I nxenesve te sh.f.Ilaz Thaci (Kashan-Uji I Tharte - Hani I Elezit dhe anasjelltas, dhe Krivenik-Hani I Elezit dhe anasjelltas)",2014,ARDI DPH,Hani I Elezit,1-Feb-14,"3,990","3,990.00",0,3990,0
1393,GJILAN,Supply,Not Provided,5,Furnizim me fishekzjarre per nder te dites se Pavaresise 2014,2014,AUTO DIMNICA,Gjilan,14-Feb-14,"2,580","2,580.00",Not Provided,2580,0
1394,GJILAN,Services,Not Provided,8,Kryerja e sherbimeve - sigurimi I biletave me aviokompany,2014,ALTAVIA TRAVEL,Prishtine,3-Mar-14,"10,000","10,000.00",Not Provided,10000,0
1395,GJILAN,Services,Not Provided,9,Sigurimi I sherbimit te pastrimit sh.f. A.Tahiri dhe Skenderbeu,2014,ARIANITI A,Gjilan,17-Mar-14,"7,080","7,080.00",Not Provided,7080,0
1396,GJILAN,Services,Not Provided,10,"Sigurimi i sherbimit te pastrimit te mirembajtjes shk.m. "" Arberi"" dhe ""Mehmet Isai""",2014,ARIANITI A,Gjilan,17-Mar-14,"7,080","7,080.00",Not Provided,7080,0
1397,GJILAN,Supply,Not Provided,11,Furnizim me foli plastike - Drejtoria e Bujqesise,2014,RENDIMENTI,Gjilan,19-Mar-14,"5,000","5,000.00",Not Provided,5000,0
1398,FERIZAJ,Jobs,Municipal Budget,12,"Asfaltimi i gjashte rrugeve dhe Shtruarja me kubeza betoni e pese rrugeve ne Ferizaj _ projekte me pjesemarrje te qytetareve _ LOT III: Shtruarja e tri rrugeve me kubeza betoni:
1. Shtruarja me kubeza e rruges _Idriz MaliqiÓ,
2. Shtruarja me kubeza e rruges _Hysni KajtaziÓ,
3. Shtruarja me kubeza e rruges _Abdyselam AhmetiÓ
",2014,ATC COM NNP,Kacanik,24-Mar-14,"5,095",Not Provided,"5,095.00",5095,0
1399,GJILAN,Jobs,Not Provided,23,"Asfaltimi i rruges ne lagjen ""Dheu i Bardhe""",2014,EL BAU,Gjilan,6-Apr-14,"301,232","301,231.70",Not Provided,301231.7,0
1400,GJILAN,Jobs,Not Provided,14,Rrenimi i ish objektit te Higjienes,2014,EL BAU,Gjilan,14-Apr-14,"8,920","8,920.00",Not Provided,8920,0
1401,FERIZAJ,Jobs,Municipal Budget,29,Asfaltimi i rruges ne Talinoc te Jerlive - projekt dyvjeqar.,2014,STRASSEN & TIEFBAU NNP,Ferizaj,28-Apr-14,"4,859",Not Provided,"4,859.45",4859.45,0
1402,FERIZAJ,Jobs,Municipal Budget,30,Ndertimi i Qendres Emergjente ne Ferizaj - faza e I-re.,2014,BARDHI NTP,Ferizaj,28-Apr-14,"11,745",Not Provided,"11,745.42",11745.42,0
1403,GJAKOVE,Jobs,National Budget,13,_Renovimi i zyres se Kryesuesit te KuvenditÓ,2014,SIMERI,Gjakove,30-Apr-14,"2,890","2,889.80",Not Provided,2889.8,0
1404,GJILAN,Jobs,Not Provided,17,Mirembajtja verore e rrugeve,2014,TALI,Gjilan,5-May-14,"120,470","120,470.00",Not Provided,120470,0
1405,GJILAN,Jobs,Not Provided,42,"Demolimi I prones private dhe kthimi ne gjendjen e meparshme per shkak te rregullimit te kanalizimit ne lagjen "" ARBERIA""",2014,BARDHI NNP,Gjilan,6-May-14,"6,582","6,582.00",Not Provided,6582,0
1406,GJILAN,Supply,Not Provided,34,Furnizim me nje aparat hematologjik dhe nje zhvillues filmash QKMF,2014,LETA MED,Suhareke,14-May-14,"9,900","9,900.00",Not Provided,9900,0
1407,GJILAN,Services,Not Provided,16,Revidimi i projektit kryesor shkolla e Artit Pamor,2014,ENGRUP SHPK,Prishtine,20-May-14,"2,600","2,600.00",Not Provided,2600,0
1408,GJILAN,Supply,Not Provided,40,Furnizimi dhe montimi I gureve skajor ne Varrezat e qytetit,2014,EL BAU,Gjilan,20-May-14,"9,855","9,855.00",Not Provided,9855,0
1409,GJILAN,Supply,Not Provided,41,Furnizim me kompjutera dhe printera per nevoja te K.Gjilan,2014,PRO COMPUTERS,Gjilan,28-May-14,"9,970","9,970.00",Not Provided,9970,0
1410,PRISHTINE,Services,Not Provided,26,Hartimi I projekteve te vogla dhe te meseme te infrastruktures rrugore-KORNIZE,2014,ALFA I & INFRATEK,Prishtine,4-Jun-14,"50,000","50,000.00",Not Provided,50000,0
1411,FERIZAJ,Jobs,Municipal Budget,49,"Rregullimi i rrethojes te oborrit te shkolles fill. ""Abetarja""-Softaj",2014,DANI NSH,Ferizaj,11-Jun-14,"1,334",Not Provided,"1,333.82",1333.82,0
1412,GJAKOVE,Services,National Budget,25,"_Transporti vjetor per veprimtari kulturore, sportive,rinore, si dhe per arsimtar dhe nxenes ne relacione te ndryshmeÓ",2014,ARMEND TOURS,Gjakove,13-Jun-14,"8,000","8,000.00",Not Provided,8000,0
1413,GJILAN,Supply,Not Provided,46,Furnizim me rroba pune per zyrtaret Komunal,2014,METI COMERC,Gjilan,13-Jun-14,"6,216","6,216.00",Not Provided,6216,0
1414,FERIZAJ,Jobs,Municipal Budget,51,Rrenimi i objekteve te KK-Se-Ferizaj,2014,LIRIDONI COM NTSH,Ferizaj,18-Jun-14,"30,000","30,000.00",Not Provided,30000,0
1415,GJILAN,Supply,Not Provided,31,Furnizim me nje kombi per nevoja te QKMF-se,2014,EURO METALI,Pozharan,18-Jun-14,"32,000","32,000.00",Not Provided,32000,0
1416,GJILAN,Supply,Not Provided,37,Furnizim me inventar shkollor per drejtorine e Arsimit,2014,METALI,Pozharan,18-Jun-14,"21,500","21,500.00",Not Provided,21500,0
1417,FERIZAJ,Jobs,Municipal Budget,55,"Riparimi i kanalizimit fekal ne rrugen ""Nermin Vlora""-Ferizaj",2014,BERISHA COMPANY SHA,Ferizaj,20-Jun-14,"9,925",Not Provided,"9,925.46",9925.46,0
1418,GJAKOVE,Services,National Budget,10,_Mirembajtja e gjelberimit te qytetit dhe mbjellja e fidaneve te drunjeve dekorativ Ó,2014,QABRATI,Gjakove,20-Jun-14,"90,000","90,000.00",Not Provided,90000,0
1419,GJAKOVE,Services,National Budget,12,_Mirembajtja dhe pasrtimi i rrugeve dhe hapesirave urbane dhe shtratit te lumit Krena ne Komunen e GjakovesÓ,2014,QABRATI,Gjakove,24-Jun-14,"100,000","100,000.00",Not Provided,100000,0
1420,GJAKOVE,Jobs,National Budget,22,_Mirembajtja vjetore e rrugeve me asfalt _ sanimi i gropave Ó,2014,JOOS KRASNIQI BAZE,Junik,1-Jul-14,"100,000","100,000.00",Not Provided,100000,0
1421,GJILAN,Services,Not Provided,12,Hartimi I elaboratit gjeomekanik per nevoja te Komunes,2014,G&B TAMPON,Podujeve,4-Jul-14,"10,000","10,000.00",Not Provided,10000,0
1422,GJILAN,Supply,Not Provided,43,Arkivimi i dokumentacionit te ish Gjykata per Kundervajtje dhe Drejtoria e Urbanizmit,2014,ARKIVISTI,Gjilan,7-Jul-14,"6,625","6,625.00",Not Provided,6625,0
1423,GJILAN,Supply,Not Provided,61,Furnizim me tepihe dhe perde per zyren e kryetarit,2014,PELLUMBI,Gjilan,7-Jul-14,"9,499","9,499.00",Not Provided,9499,0
1424,GJAKOVE,Jobs,Donation,76,"Aneks ""Ndertimi -asfaltimi I rrugeve ""L.Prizrenit"",""A.Buza"" dhe ""T.Gjoka"" (632-11-076-521)",2014,GASHI ING NNTPP,Suhareke,8-Jul-14,"25,655",Not Provided,"25,655.34",25655.34,0
1425,PRISHTINE,Jobs,Not Provided,56,Mirembajtja e gjelberimit dhe ngritja e siperfaqeve te gjelbra ne qytetin e Prishines,2014,HORTIKULTURA,Prishtine,9-Jul-14,"800,000","800,000.00",Not Provided,800000,0
1426,GJILAN,Services,Not Provided,35,Servisimi dhe mirembajtja e aparateve fotokopjuese,2014,PRO COMPUTERS,Gjilan,21-Jul-14,"9,975","9,975.00",Not Provided,9975,0
1427,GJILAN,Supply,Not Provided,45,Shitja e mases drurore -me ANKAND,2014,BLINI-CATI,Gjilan,23-Jul-14,"10,247","10,247.39",Not Provided,10247.39,0
1428,GJILAN,Supply,Not Provided,51,"Furnizimi dhe montimi I kamerave ne shk. M ."" ARBERI""",2014,NAS SYSTEMS,Gjilan,23-Jul-14,"6,360","6,360.00",Not Provided,6360,0
1429,GJILAN,Jobs,Not Provided,52,"Rrethimi i pemishtes shk.m."" ARBERI""",2014,FA BEK,Zhegar,23-Jul-14,"7,259","7,259.00",Not Provided,7259,0
1430,GJILAN,Jobs,Not Provided,53,"Prerja e drunjeve,nxjerrja e cungave dhe levrimi I hpasires te shk.m.""ARBERIA""",2014,MIZI,Zhegar,23-Jul-14,"9,580","9,580.00",Not Provided,9580,0
1431,GJILAN,Jobs,Not Provided,48,"Aafaltimi i rrugeve ne lagjen Zabeli I ""Sait Ages""",2014,ZUKA COMPANI,Gjilan,24-Jul-14,"212,665","212,664.99",Not Provided,212664.99,0
1432,GJILAN,Supply,Not Provided,59,Furnizim me pesticide farera per shkollen e re te Zabelit,2014,ELITA,Gjilan,31-Jul-14,"1,861","1,861.00",Not Provided,1861,0
1433,GJAKOVE,Services,National Budget,3,_Mbikeqyerja profesionale e projekteve-punimeve gjate realizimitÓ,2014,IDEAL PROJEKT & GEOMERKUR,Prishtine,6-Aug-14,"80,000","80,000.00",Not Provided,80000,0
1434,GJILAN,Jobs,Not Provided,66,"Kyqja individuale ne kanalizimin fekal ne rrugen ""Ali Hadri""",2014,EURO TRANS,Gjilan,12-Aug-14,"2,550","2,550.00",Not Provided,2550,0
1435,GJILAN,Jobs,Not Provided,39,Rrenimi i objekteve te ndertuara pa leje,2014,MURSELI COMPANY SHPK,Kacanik,13-Aug-14,"30,000","30,000.00",Not Provided,30000,0
1436,GJILAN,Supply,Not Provided,73,"Furnizim dhe montimi I videosistemit sh.f ""Thimi Mitko"" dhe ""Mulla Idrizi"" ne fshatin Velekince",2014,NAS SYSTEMS,Gjilan,15-Aug-14,"9,852","9,852.00",Not Provided,9852,0
1437,GJILAN,Supply,Not Provided,74,Furnizim me shtreter dhe jogi per nevoja te Konviktit te nxenesve,2014,PELLUMBI,Gjilan,15-Aug-14,"9,810","9,810.00",Not Provided,9810,0
1438,GJAKOVE,Supply,National Budget,41,_Riparimi i aparateve fotokopjuese,2014,ANITECH,Prishtine,19-Aug-14,"7,000","7,000.00",Not Provided,7000,0
1439,FERIZAJ,Services,Not Provided,91,Pastrimi I varrezave Katolike dhe ortodokse,2014,TONI COM SHPK,Ferizaj,29-Aug-14,"4,300","4,300.00",Not Provided,4300,0
1440,GJILAN,Services,Not Provided,79,"Manifestimi kulturore ""Ditet e Mergates 2014""",2014,BUKA,Gjilan,29-Aug-14,"8,000","8,000.00",Not Provided,8000,0
1441,FERIZAJ,Services,Not Provided,95,Vaksionimi I qeneve me pronar,2014,AMBULANCA VETERINARE NSH,Ferizaj,8-Sep-14,"7,000","7,000.00",Not Provided,7000,0
1442,FERIZAJ,Jobs,Not Provided,98,"Asfaltimi I rruges ne fshatin Pleshine,rruga Gaqke-lagjeQallakeve dhe shtruarja me kubezane rrugen ""Salih Shabani""-Aneks",2014,ESKAVATORI COMPANY,Ferizaj,22-Sep-14,"27,691",Not Provided,"27,691.00",27691,0
1443,FERIZAJ,Jobs,Not Provided,99,Rregullimi I 8 rrugeve me kubeza betoni dhe asfaltimii i 4 rrugeve ne Ferizaj-projekt dy vjeqar-Aneks,2014,KEMA COMPANY,Lipjani,22-Sep-14,"2,241",Not Provided,"2,240.83",2240.83,0
1444,GJAKOVE,Supply,Municipal Budget,47,_Furnizim me buke dhe kifleÓ,2014,MABES,Gjakove,22-Sep-14,"15,000","15,000.00",Not Provided,15000,0
1445,GJILAN,Services,Not Provided,47,"Dezinfektimi,Dezinsektimi dhe Deratizimi ne komunen e Gjilanit",2014,FAUNA NTSH,Gjilan,24-Sep-14,"160,350","160,350.00",Not Provided,160350,0
