ID,Municipality,Contract Type,Fund Source,Serial Number,Description,Year,Contract Awardee,Awardee Headquarters,Date Signed,Estimated Cost,Price,Annex,value,overun_%
216,KACANIK,Supply,Not Provided,KA652/14/23a/136,Furnizim me materijal Stomatologjik per QKMF-ne Kacanik,2014,ANDIDENT NTP,Ferizaj,10-Jun-14,Not Provided,"10,000.00",Not Provided,10000,0
217,KACANIK,Jobs,Not Provided,KA652/14/30/536,Punimi dhe rehabilitimi I fontanes ne parkun e qytetit dhe shetitoren pergjat Lumit Nerodime,2014,ELAN INZHINJERING NNT,Ferizaj,16-Jun-14,Not Provided,"9,998.88",Not Provided,9998.88,0
218,KACANIK,Jobs,Not Provided,KA652/14/31/536,Ndrrimi I dyereve te Klaseve ne SHMP,2014,REMA NTSH,Kacanik,19-Jun-14,Not Provided,"5,877.50",Not Provided,5877.5,0
219,KACANIK,Services,Not Provided,KA652/14/33/136,Instalimi I kamerave ne objektin e Komunes si dhe ne objektin e QKMF-se,2014,SYRI I SHQIPONJES SHPK,Ferizaj,25-Jun-14,Not Provided,"4,308.50",Not Provided,4308.5,0
220,KACANIK,Jobs,Not Provided,KA652/14/34/536,Punimi I lapidarit per Deshmoret e fshatit Shtraze,2014,FUSHA NNP,Kacanik,27-Jun-14,Not Provided,"7,968.50",Not Provided,7968.5,0
221,KACANIK,Services,Not Provided,KA652/14/35/236,"Mirmbajtja dhe riparimi I automjeteve per SHCK-ne, Shkollat , Zjarrfiksat dhe Shendetsine",2014,AUTOMEKANIKU YLBERI XH,Kacanik,1-Jul-14,Not Provided,"10,000.00",Not Provided,10000,0
222,KACANIK,Supply,Not Provided,KA652/14/27/121,Fyrnizim me pajisje te teknologjs Informative Lloptop dhe Kompjuter,2014,ILIR KOSOVA NTSH,Prishtine,8-Jul-14,Not Provided,"13,451.36",Not Provided,13451.36,0
223,KACANIK,Services,Not Provided,KA652/14/44/136,"Mirmbajtja dhe servisimi I aparaturave dhe pajisjeve mjeksore ne QKMF, kontrate njevjeqare",2014,ELEKTROSERVIS ARDI NSH,Ferizaj,10-Jul-14,Not Provided,"6,500.00",Not Provided,6500,0
224,KACANIK,Supply,Not Provided,KA652/14/24/121,"Furnizim me materijal per mirembajtjen e nderteses se SHCK-se, Objekteve Shkollore,Shtepit e Shendetit dhe Ndertesen e Zjarrfiksave, kontrate njevjecare",2014,JETA E RE NTSH,Kacanik,11-Jul-14,Not Provided,"15,000.00",Not Provided,15000,0
225,KACANIK,Jobs,Not Provided,KA652/14/29/521,"Rregullimi dhe asfaltimi I rrugeve lokale, kontrate njevjeqare",2014,MURSELI COMPANY SHPK,Kacanik,11-Jul-14,Not Provided,"124,795.00",Not Provided,124795,0
226,KACANIK,Jobs,Not Provided,KA652/14/26/521,Asfaltimi I rruges ne lagjen Ekrem Gudaqi ne fshatin Stagov,2014,VIZION PROJEKT NPN,Gjilan,16-Jul-14,Not Provided,"26,419.51",Not Provided,26419.51,0
227,KACANIK,Jobs,Not Provided,KA652/14/32/521,Asfaltimi I rruges Hilmi Shehu ne fshatin Begrace,2014,VIZION PROJEKT NPN,Gjilan,16-Jul-14,Not Provided,"49,412.75",Not Provided,49412.75,0
228,KACANIK,Jobs,Not Provided,KA652/14/45/536,Ndertimi I konstruksionit te vendqendrimit te zyrtareve komunal gjat pushimit - pirjes se Duhanit,2014,ARIJANI NNT,Kacanik,18-Jul-14,Not Provided,"2,134.00",Not Provided,2134,0
229,KACANIK,Supply,Not Provided,KA652/14/41/136,Furnizim me materijal Laboratorik per QKMF-ne Kacanik,2014,ATOM MED NTSH,Ferizaj,22-Jul-14,Not Provided,"10,000.00",Not Provided,10000,0
230,KACANIK,Jobs,Not Provided,KA652/14/37/521,"Rrgullimi I kanalit te ujitjes prej fshatit Doganaj deri ne lagjen Lekaj, faza e pare",2014,MALI ART NPT,Kamenice,23-Jul-14,Not Provided,"25,815.00",Not Provided,25815,0
231,VITI,Jobs,Not Provided,39,Renovimi i shkollave ne komunen e Vitise (LOT II),2014,BENI CONSTRUCTION NN,Viti,31-Jul-14,0,"16,483.30",0,16483.3,0
232,VITI,Jobs,Not Provided,39,Renovimi i shkollave ne komunen e Vitise (LOT III),2014,ENGEENERING,Viti,31-Jul-14,0,"1,575.20",0,1575.2,0
233,VITI,Jobs,Not Provided,39,Renovimi i shkollave ne komunen e Vitise (LOT IV),2014,ENGEENERING,Viti,31-Jul-14,0,"1,657.05",0,1657.05,0
234,KACANIK,Jobs,Not Provided,KA652/14/40/521,Zgjerimi dhe asfaltimi I rruges per fshatin Biqec dhe Nike si dhe asfaltimi I rruges ne lagjen memaj ne fshatin Dubrave,2014,BAGERI NPSH,Ferizaj,31-Jul-14,Not Provided,"75,880.93",Not Provided,75880.93,0
235,KACANIK,Supply,Not Provided,KA652/14/52/136,Furnizim me materijal ndertimor,2014,INEX PETROLL SHPK,Kacanik,11-Aug-14,Not Provided,"3,138.00",Not Provided,3138,0
