ID,Municipality,Contract Type,Fund Source,Serial Number,Description,Year,Contract Awardee,Awardee Headquarters,Date Signed,Estimated Value,Price,Annex,Total,overun_%,clean_overun_%
26,KACANIK,Supply,Unknown,KA652/10/029/121,"""Furnizim me nafte dhe derivate te naftes per nevojat e SHCK-se, Shendetesine, Shkollat dhe Zjarrfiksat"", Kontrate njevjeqare me mundesi vazhdimiedhe per nje vit.",2010,SHKèNDIA NTSH,Kacanik,22-Jul-10,Not Provided,150000,Not Provided,150000,N/A,Not Applicable
27,KACANIK,Jobs,Unknown,KA652/10/030/521,Pastrimi I perronjeve ne Komunen e Kacanikut,2010,VLLEZRIT DEMA NT,Kacanik,4-Aug-10,Not Provided,38878.56,Not Provided,38878.56,N/A,Not Applicable
28,KACANIK,Services,Unknown,KA652/10/028/221,"Sigurimi i objekteve te Administrates Komunale,Qendres Kryesore te Mjekesise Familjare dhe Shtepise se Kultures ,, Xheladin Kurtaj""- Kacanik. Kontrate njevjecare me mundesi vazhdimi edhe per nje vit.",2010,SYRI I SHQIPONJèS SHPK,Kacanik,12-Aug-10,Not Provided,36000,Not Provided,36000,N/A,Not Applicable
29,KACANIK,Jobs,Unknown,KA652/10/033/521,Ndertimi I kanalizimit fekal ne rrugen 2 Korriku,2010,MURSELI COMPANY SHPK,Kacanik,16-Aug-10,Not Provided,39997.42,Not Provided,39997.42,N/A,Not Applicable
30,KACANIK,Jobs,Unknown,KA652/10/034/521,Ndertimi I kanalizimit fekal dhe atmosferik ne fshatin Doganaj - Lagja Mursel dhe Kolsh,2010,MURSELI COMPANY SHPK,Kacanik,16-Aug-10,Not Provided,34977.89,Not Provided,34977.89,N/A,Not Applicable
31,KACANIK,Services,Unknown,KA652/10/43/236,"Rregullimi I nyjeve sanitare te personelit, dyshemeve te zyres se personelit , Drejtorit dhe dritaret e tyre ne gjimnazin Skenderbeu",2010,CONSULT ENGENERING NP,Kacanik,7-Sep-10,Not Provided,8497.13,Not Provided,8497.13,N/A,Not Applicable
32,KACANIK,Supply,Unknown,KA652/10/038/121,"Furnizim me lende djegese thengjil, per Shkollat",2010,AJRONI COM NTP,Prishtine,8-Sep-10,Not Provided,9120,Not Provided,9120,N/A,Not Applicable
33,KACANIK,Jobs,Unknown,KA652/10/39/521,Asfaltimi I rruges Deshmoret e Lirise,2010,UNIPROJEKT NPN,Kacanik,10-Sep-10,Not Provided,39856.26,Not Provided,39856.26,N/A,Not Applicable
34,KACANIK,Services,Unknown,KA652/10/44/236,Sanimi I rrjetit te Kanalizimit fekal ne lagjen Drogomac dhe lagjen Vathtur,2010,BURIMI SHPK,Kacanik,15-Sep-10,Not Provided,6409.69,Not Provided,6409.69,N/A,Not Applicable
35,KACANIK,Jobs,Unknown,KA652/10/40/521,"Zgerimi dhe asfalltimi I rruges nga maxhistralja per fsh,Bicec dhe fsh.Nike",2010,BURIMI SHPK,Kacanik,16-Sep-10,Not Provided,47956.6,Not Provided,47956.6,N/A,Not Applicable
