ID,Municipality,Contract Type,Fund Source,Serial Number,Description,Year,Contract Awardee,Awardee Headquarters,Date Signed,Estimated Value,Price,Annex,Total,overun_%,clean_overun_%
434,VITI,Services,Unknown,85,Mirmbajtja dhe servisimi i Gjeneratorve per te gjitha njesit shpenzuese te Komunes,2011,DPZ FORIDA,Pozharan,1-Dec-11,8000,9578,0,9578,0.2,0.2
435,PRISHTINè,Jobs,2,50,"Sanimi , rekonstruimi dhe asfaltimi i disa rrugeve ne lagjen Tophane",2013,NOTI,Prishtine,30-Jul-13,291000,344840.9,0,344840.9,0.19,0.19
436,VITI,Jobs,Unknown,35,Asfalltimi i rruges Goden Stubell e Poshtme,2013,STRASSEN & TIEFBAU NNP,Ferizaj,14-Aug-13,70000,75384.94,7530,82914.94,0.18,0.18
437,PRISHTINè,Supply,2,41,Furnizimi me barere dhe material shpenzues mjekesor,2013,SINORG PHARMACE,Prishtine,14-May-13,100000,116310,0,116310,0.16,0.16
438,VITI,Services,Unknown,67,"Pastrimi I rrugeve trotuareve dhe mirmbajtja e varrezave te deshmoreve,lumit dhe parkut ne qytetin e Vitise",2012,ECO HIGJIENA,Gjilan,29-Jan-13,34000,39429.53,0,39429.53,0.16,0.16
439,VITI,Services,Unknown,1,"Pastrimi i rrugeve,trotareve dhe mirmbajtja e varrezave te deshmoreve, lumit dhe parkut ne komunen e Vitise",2014,ECO HIGJIENA,Gjilan,28-Feb-14,34000,39420.87,0,39420.87,0.16,0.16
440,VITI,Supply,Unknown,21,Furnizimi me veshje dhe rekuizita sportive,2013,MEDITERAN,Viti,1-Jul-13,11000,12750,0,12750,0.16,0.16
441,PRISHTINè,Jobs,2,78,Ndertimi I rruges B - faza e II-te,2011,UNICOM,Suhareke,11-Jul-11,2500000,2883847.12,Not Provided,2883847.12,0.15,0.15
442,GJILAN,Jobs,2,89,Renovimi i kishes ne fshatin Cerrnice,2012,BABB CONSTRUCTION,Gjilan,3-Sep-12,22000,23033,2264.72,25297.72,0.15,0.15
443,FERIZAJ,Supply,2,90,Furnizim me lende djegese per nev.te shk.dhe K.se Ferizajt (LOT-I Furn.me dru per djegie),2011,METI COMERC NPT,Ferizaj,21-Jul-11,100000,114310,0,114310,0.14,0.14
444,FERIZAJ,Jobs,1,30,Hapja e kanalit per kullimin e ujerave atmosferik dhe fekal ne Prelez te Jerlive dhe Rahovice,2012,LEONARDI TRANS NTSH,Ferizaj,4-May-12,8600,9830,0,9830,0.14,0.14
445,VITI,Supply,Unknown,5,Publikimi i shpalljeve dhe njoftimeve ne gazeta,2014,GRUPI KOHA,Not Provided,5-Mar-14,3000,3425,0,3425,0.14,0.14
446,FERIZAJ,Jobs,2,109,Rregullimi i trotuareve pergjate magjistrales ne Sojeve.,2013,ATC COM NNP,Kacanik,11-Sep-13,35000,39784.44,Not Provided,39784.44,0.14,0.14
447,PRISHTINè,Services,Unknown,8,Hartimi I projekteve per disa rruge ne qytetin dhe ne fshatra te Komunes se Prishtines-LOT 2,2014,ENG IDEA,Suhareke,22-Apr-14,2000,2272,Not Provided,2272,0.14,0.14
448,VITI,Supply,Unknown,12,Furnizimi me reagenca laboratorike,2014,BIO LAB NTP,Gjilan,30-May-14,20000,22569.07,0,22569.07,0.13,0.13
449,PRISHTINè,Services,2,60,Organizimi dhe realizimi I programit per Diten e Europes,2012,EZ VIZION,Gjakove,8-May-12,7500,8450,Not Provided,8450,0.13,0.13
450,FERIZAJ,Jobs,2,139,"Renovimi i kulmit ne shkollen fillore ,,Vezir Jashari,, ne Ferizaj",2011,ATC COM NNP,Kacanik,22-Sep-11,20000,22500.45,0,22500.45,0.13,0.13
451,KACANIK,Jobs,2,31,"Ndertimi dhe shtruarja me Kubza betoni e rruges Ramadan Agushi, faza II",2013,GèRLICA COMPANY SHPK,Ferizaj,31-Jul-13,40000,45000.25,Not Provided,45000.25,0.13,0.13
452,FERIZAJ,Services,Unknown,94,Furnizim me elektromaterjalper nevoja te Komunes,2014,EL TRADE NTP,Ferizaj,8-Sep-14,1000,1122.98,Not Provided,1122.98,0.12,0.12
453,VITI,Supply,Unknown,28,Ndertimi I kanalizimit dhe ujesjellesit ne lagjen Vinex-i,2013,VIZIONI BD,Viti,9-Jul-13,5700.2,6389.8,0,6389.8,0.12,0.12
454,FERIZAJ,Supply,1,125,"Furnizimi me veshje per punetoret e brigades se zjarrefikesve dhe ate me nga nje pale pantallona,kemishe,xhemper si dhe nje pale kepuce per sezonin dimeror.",2013,LEVIS DPT,Ferizaj,16-Oct-13,4000,4480,Not Provided,4480,0.12,0.12
455,GJAKOVè,Supply,2,21,"""Furnizim me rroba pune""",2013,RREMI E MERITON,Gjakove,3-Jun-13,2256.71,2526.71,Not Provided,2526.71,0.12,0.12
456,FERIZAJ,Services,2,124,"Nderrimi i dyerve dhe dritareve ne sh.f.ne Fshatin Sazli, Komuna e Ferizajt",2011,VERBANI NTP,Ferizaj,31-Aug-11,8000,8949.99,0,8949.99,0.12,0.12
457,PRISHTINè,Services,2,169,Miremabjtja dimrore e rrugeve dhe trotuareve - Pjesa e IV-te,2013,EUROPA PARTNERS,Prishtine,15-Nov-13,75000,83898.2,0,83898.2,0.12,0.12
458,VITI,Jobs,Unknown,25,Asfaltimi i rruges ne lagjen e Sokolve dhe Kezve te fshatit Verban,2012,VISION PROJECT,Gjilan,19-May-12,70000,78222.05,0,78222.05,0.12,0.12
459,PRISHTINè,Jobs,2,45,"Fasadimi I ndertesave ne rrugen ""L.Haradinaj"",""A Ramadani"" dhe ""R Luci""",2011,KRAPI COM,Prishtine,22-Apr-11,200000,223392.6,Not Provided,223392.6,0.12,0.12
460,VITI,Supply,Unknown,36,Furnizim me dru per djegie per shkollat dhe QKMF-n e Komunes se Vitise,2011,FRASHèRI,Viti,15-Aug-11,72938,81435.2,0,81435.2,0.12,0.12
461,FERIZAJ,Jobs,2,130,Renovimi i dispanzerit antituberkuloz ne Ferizaj,2011,CDC NPN,Gjilan,6-Sep-11,30324,33847.82,0,33847.82,0.12,0.12
462,FERIZAJ,Services,1,61,Aplikimi online per t'u paisur me dokumente nga Sektori i Gjendjes Civile.,2014,DATA PROGNET NSH,Ferizaj,1-Jul-14,4500,5000,Not Provided,5000,0.11,0.11
463,FERIZAJ,Jobs,Unknown,111,"Kanalizimi fekal,atmosferik dhe riasfaltim I rruges ""Rifat Berisha""",2014,BERISHA COMPANY SHA,Ferizaj,8-Oct-14,85000,94219.33,Not Provided,94219.33,0.11,0.11
464,PRISHTINè,Jobs,Unknown,69,Sinjalizimi horizontal dhe vertikal I rrugeve ne Prishtine,2014,RSM COMPANY,Prishtine,28-Aug-14,190000,209939.5,Not Provided,209939.5,0.1,0.1
465,VITI,Supply,Unknown,7,Furnizimi me reagenca laboratorike,2013,BIO LAB NTP,Gjilan,4-Apr-13,20000,22072.07,0,22072.07,0.1,0.1
466,VITI,Jobs,Unknown,66,"Ndertimi i shkolles fillore ""Njazi Rexhepi"" ne Sllatine te Eperme (faza IV)",2014,PRO&CO GROUP-VIZION PRJ,Viti,27-Oct-14,47861.2,52764.98,0,52764.98,0.1,0.1
467,KACANIK,Jobs,"1, 2",63,Asfaltimi I rruges ne lagjen Provoli te fshatit Soponice,2013,GèRLICA COMPANY SHPK,Ferizaj,21-Oct-13,40000,44006.35,Not Provided,44006.35,0.1,0.1
468,PRISHTINè,Jobs,2,60,Pastrimi dhe larja e rrugeve e trotuareve te qytetit te Prishtines - pj. II-te,2011,TOIFOR,Prishtine,13-May-11,150000,165022.32,Not Provided,165022.32,0.1,0.1
469,GJILAN,Supply,2,102,Furnizim mefar gruri Lot I,2013,GRESA,Gjilan,23-Oct-13,26732.5,26732.5,2673.25,29405.75,0.1,0.1
470,GJILAN,Jobs,Unknown,72,Rregullimi I zyreve (sistem I hapur)on stop shop,2014,CDC SHPK,Gjilan,22-Sep-14,30963.67,30963.67,3096.36,34060.03,0.1,0.1
471,GJILAN,Jobs,Unknown,62,Sanimi I rrugeve dhe trotuareve-mirembajtja verore e rrug[ve,2011,TALI,Gjilan,20-Jun-11,292092,292092,29200,321292,0.1,0.1
472,FERIZAJ,Jobs,1,166,Rregullimi i rrjetit te kanalizimit fekal ne fshatin Greme - lagjia Karameta.,2013,AR SIMI NTP,Ferizaj,26-Nov-13,2000,2199.3,Not Provided,2199.3,0.1,0.1
473,GJILAN,Jobs,Unknown,21,Asfaltimi i rruges Lladove - Nasale,2014,TALI,Gjilan,23-May-14,183690,183690,18277.5,201967.5,0.1,0.1
474,VITI,Jobs,Unknown,32,"Renovimi i fushes se futbollit ""2 Korriku"" ne fsh. Begunce",2014,ENGEENERING,Viti,30-Jun-14,1346.9,1480,0,1480,0.1,0.1
475,FERIZAJ,Jobs,2,79,Ndertimi i rrjetit te kanalizimit fekal dhe atmosferik ne rr.''Nermin Vlora''. I aprovuar me rishikim,2013,BERISHA COMPANY SHA,Ferizaj,30-Jul-13,60000,65927.66,Not Provided,65927.66,0.1,0.1
476,FERIZAJ,Jobs,1,127,Riparimi i kulmit te Teatrit te Qytetit ne Ferizaj,2011,DYNAMIC COMPANY NPN,Ferizaj,1-Sep-11,13500,14829.87,0,14829.87,0.1,0.1
477,GJILAN,Jobs,2,118,Ndertimi I shtepise per perf. Indiv. Selim ramadani,2013,MABB CONSTRUCTION,Gjilan,20-Nov-13,19938.94,19938.94,1915.25,21854.19,0.1,0.1
478,PRISHTINè,Jobs,2,51,Ndertimi i disa rrugeve ne lagjen K.e Trimave dhe fsh. Grashtice dhe Makovc,2013,GASHI ING NNTPP,Suhareke,20-May-13,214800,235431.2,0,235431.2,0.1,0.1
479,KACANIK,Jobs,"1, 2",60,Asfaltimi I rruges ne fshatin Gllobocice nga hyrja deri te Xhamia e Fshatit,2013,AR DRITI NTSH,Ferizaj,1-Oct-13,27000,29579.85,Not Provided,29579.85,0.1,0.1
480,KACANIK,Services,"1, 2",50,Eleminimi I qeneve endacak,2013,VETERINA MED KV,Shterpce,12-Aug-13,3880,4250,Not Provided,4250,0.1,0.1
481,VITI,Supply,Unknown,75,Furnizimi me material dekorues,2012,SPORTI NTP,Viti,30-Dec-12,6000,6570,0,6570,0.1,0.1
482,VITI,Supply,Unknown,51,Furnizimi montimi dhe riparimi i klimave per zyre te komunes,2014,BAGDAT NTSH,Viti,5-Sep-14,1380,1510,0,1510,0.09,0.09
483,VITI,Services,Unknown,31,Sherbimet e zerimit per nevojat e Autort. Kontraktues,2013,ZUKA ZERIMI,Viti,17-Jul-13,5605,6115.2,0,6115.2,0.09,0.09
484,FERIZAJ,Jobs,2,40,"Asfaltimi i rruges ,,Enver TopalliÓ ne Ferizaj",2011,EURO PARKU NTP,Ferizaj,3-Jun-11,200000,217985.65,0,217985.65,0.09,0.09
485,PRISHTINè,Supply,2,126,Furnizimi me material te zyres per nevojat e Komunes-Pjesa e pare,2013,GRAFO LONI,Prishtine,13-Sep-13,16666,18105.6,0,18105.6,0.09,0.09
486,PRISHTINè,Supply,2,41,Furnizimi me uniforma per sherbimin teknik te Komunes,2012,MINI MAX,Prishtine,6-Jun-12,4000,4344.8,Not Provided,4344.8,0.09,0.09
487,FERIZAJ,Jobs,1,80,Rregullimi i rrjetit te kanalizimit fekal pergjat kolektorit atmosferik tek Goget.,2013,BERISHA COMPANY SHA,Ferizaj,30-Jul-13,23000,24943.97,Not Provided,24943.97,0.08,0.08
488,PRISHTINè,Jobs,2,134,Ndertimi i disa rrugeve dhe kanalizimeve ne qytet dhe fshatin Llukar,2013,GASHI ING NNTPP,Suhareke,26-Aug-13,198000,214575.1,0,214575.1,0.08,0.08
489,FERIZAJ,Supply,2,110,Furnizimi me nje automjet-kombi per bartjen e pacienteve ne dialize.,2013,BESA NSH,Ferizaj,11-Sep-13,30000,32500,Not Provided,32500,0.08,0.08
490,FERIZAJ,Jobs,2,20,Asfaltimi I rruges Varosh Greme,2013,BEGISHOLLI NTP,Ferizaj,22-Mar-13,90000,96969.7,Not Provided,96969.7,0.08,0.08
491,KACANIK,Jobs,2,11,Asfaltimi I rruges ne lagjen Bajrami dhe Jaha ne fshatin Stagove,2013,EUROTRANS NNT,Kacanik,7-May-13,30000,32300.49,Not Provided,32300.49,0.08,0.08
492,GJILAN,Jobs,Unknown,22,Asfaltimi i rruges Pogragje - Bilinice,2014,PAPENBURG & ADRIANI,Ferizaj,27-May-14,158877.61,158877.61,12106,170983.61,0.08,0.08
493,VITI,Services,Unknown,51,Transporti i nxenesve ne relacionin Letnice-Stubell e Eperme dhe anasjelltas,2012,BENI KOMERC,Viti,31-Aug-12,4800,5160,0,5160,0.08,0.08
494,PRISHTINè,Jobs,2,133,Ndertimi i rrethrrotullimit ne dalje te Prishtines - pjesa e I-re,2012,OLTI-BENI COM,Prishtine,10-Oct-12,2000000,2148673.44,Not Provided,2148673.44,0.07,0.07
495,FERIZAJ,Supply,2,91,Furnizim me lende djegje per nevoja te shk.dhe K.Ferizajt (LOT-II-Furnizim me thengjill per djegie),2011,VESA NBP,Ferizaj,21-Jul-11,52400,56250,0,56250,0.07,0.07
496,FERIZAJ,Jobs,2,149,Rregullimi i i nxemjes qendrore ne sh.m.gjimnazi ''Dr.Shaban Hashani'' ne Ferizaj.,2013,TERMO EKOLOG NTSH,Ferizaj,6-Nov-13,5000,5338.32,Not Provided,5338.32,0.07,0.07
497,GJILAN,Jobs,Unknown,19,"Asfaltimi i rr.E.Miftari, F.Agani dhe rr.deri te Universiteti FAMA",2011,PAPENBURG & ADRIANI,Ferizaj,16-Jun-11,679056.9,679056.9,45788.6,724845.5,0.07,0.07
498,VITI,Jobs,Unknown,11,Asfalltimi rruges Elena Gjika ne Viti,2011,BAGERI NPSH,Ferizaj,31-May-11,30000,31989.83,0,31989.83,0.07,0.07
499,VITI,Supply,Unknown,70,Furnizimi me inventar per objektin e ri te komunes,2012,EUROMETAL,Gjilan,6-Dec-12,30000,31980,0,31980,0.07,0.07
500,VITI,Jobs,Unknown,25,Ndertimi i kanalizimit te ujerave te zeza ne Fshatin e ri,2014,KUSHTRIMI NM,Viti,6-Jun-14,65000,69177.89,0,69177.89,0.06,0.06
501,VITI,Services,Unknown,51,"Sigurimi TPL,TPL+ dhe KASKO per veturat e Komunes se Vitise",2013,SIGURIA SHA,Prishtine,28-Oct-13,8600,9147.37,0,9147.37,0.06,0.06
502,VITI,Services,Unknown,61,Mirmbatja verore dhe dimrore e rrugeve ne territorin e komunes se Vitise,2013,HAJRUSHI,Viti,27-Dec-13,25000,26585,0,26585,0.06,0.06
503,FERIZAJ,Services,2,177,"Hartimi i projekteve per obj.administ.:a) Renov. i obj. te Komunes,b)Ren. i objektit te zjarref, c) Projekti zbatues per obj. ,,Nepredakut,, ne Ferizaj",2011,AEK NPN,Prishtine,17-Nov-11,9100,9663.41,0,9663.41,0.06,0.06
504,FERIZAJ,Services,Unknown,116,Furnizim me lende djegese per ngrohje-LOT-I-Dru per djegie,2014,METI COMERC NPT,Ferizaj,14-Oct-14,69000,73190,Not Provided,73190,0.06,0.06
505,FERIZAJ,Jobs,Unknown,137,"Hapja e nje pusi(bunari) tek ""Varrezat e Deshmoreve"".",2014,BETONI & MB,Ferizaj,7-Nov-14,1200,1271.25,Not Provided,1271.25,0.06,0.06
506,VITI,Jobs,Unknown,40,"Hapja, shtrurja me zhavorr dhe asfaltimi i rrugve: Skifteraj, Debelldeh dhe Terpeze.",2011,STRASSEN & TIEFBAU NNP,Ferizaj,3-Sep-11,177808,171458.52,16638.4,188096.92,0.06,0.06
507,GJILAN,Jobs,Unknown,26,"Asfaltimi i rruges ne lagjen Dardania rruga "" Ali Hadri""",2014,EUROTRANS,Gjilan,9-Jun-14,45535.35,45535.35,2529,48064.35,0.06,0.06
508,VITI,Supply,Unknown,26,Furnizim me material te shtypur per te gjitha njesit shpenzuese,2011,DORIANA SHYP SHKRONJA,Ferizaj,25-Jul-11,9447.5,9950,0,9950,0.05,0.05
509,GJILAN,Services,2,43,Ofrimi i sherbimit te varrimit,2012,BEREQETI-GJ,Gjilan,4-Jul-12,190000,199961,Not Provided,199961,0.05,0.05
510,VITI,Supply,Unknown,20,Furnizimi me Ipad dhe fotoaparate,2014,R SYSTEMS,Prishtine,6-May-14,2460,2588,0,2588,0.05,0.05
511,VITI,Supply,Unknown,46,Furnizim me material te shtypur dhe reklamues per nevoja te Administrates Komunale,2011,FOTO MUSA,Viti,26-Aug-11,9520,9999,0,9999,0.05,0.05
512,FERIZAJ,Jobs,1,146,"Renovimi i bibliotekes ,,Anton ‚etta,, ne Ferizaj",2011,BETONI NNP,Ferizaj,4-Oct-11,15000,15748.51,0,15748.51,0.05,0.05
513,PRISHTINè,Jobs,2,72,Ndertimi i panorames se bjeshkatarise,2013,GLOBAL ING & DEK,Podujeve,16-Sep-13,70000,73462,0,73462,0.05,0.05
514,GJILAN,Jobs,Unknown,38,Eliminimi i deponive te egra ne komunen e Gjilanit,2014,EL BAU,Gjilan,13-Oct-14,36703.75,36703.75,1806.3,38510.05,0.05,0.05
515,PRISHTINè,Supply,2,69,Zgjerimi I ndriqimit publik ne Prishtine per vitin 2012,2012,ELTRISI NTP,Prishtine,24-Jul-12,150000,157039.4,Not Provided,157039.4,0.05,0.05
516,PRISHTINè,Supply,Unknown,29,Furnizimi me gjeneratore per objektin e zjarrefikesve Prishtina -2,2014,MGA,Prishtine,28-May-14,10000,10450,Not Provided,10450,0.04,0.04
517,FERIZAJ,Jobs,2,125,Ngritja ne kat e SHFMUÓRamadan RexhepiÓne Sojeve,2011,IMPACT SHPK,Shtime,31-Aug-11,65000,67885.3,0,67885.3,0.04,0.04
518,HANI I ELEZIT,Supply,2,50,Furnzim me dru per Institucionet e Hanit te Elezit,2013,BUJARI,Kacanik,13-Dec-13,6000,3132,3132,6264,0.04,0.04
519,FERIZAJ,Jobs,2,175,Renovimi i zyres se kadastrit ne perdhese ne objektin e Komunes se Ferizajt.,2013,KOLOS NPP,Ferizaj,29-Nov-13,1500,1562,Not Provided,1562,0.04,0.04
520,FERIZAJ,Jobs,Unknown,96,Asfaltimi I rruges e Lgjen e ‚akoreve-pr dy vjecar,2014,STRASSEN & TIEFBAU NNP,Ferizaj,9-Sep-14,70000,72891.3,Not Provided,72891.3,0.04,0.04
521,PRISHTINè,Supply,2,210,Furnizimi me printer dhe pajisje tjera te T.I,2012,BOTEK NT,Prishtine,20-Nov-12,2500,2601.36,Not Provided,2601.36,0.04,0.04
522,FERIZAJ,Supply,2,81,Furnizimi me ngjyra per ngjyrosjen e zyreve te kadastrit ne perdhese.,2013,CASATI COLOR NPT,Ferizaj,30-Jul-13,1500,1560,Not Provided,1560,0.04,0.04
523,KACANIK,Supply,"1, 2",67,Furnizim me automjete zyrtare per nevojat e Komunes Kacanik,2013,MORINA AUTOMOBIL NT,Vushtrri,11-Nov-13,36000,37365,Not Provided,37365,0.04,0.04
524,PRISHTINè,Jobs,2,61,Gelqerosja e objektit te shkolles se vjeter ekonomike,2013,REXHA,Prishtine,23-Apr-13,8500,8800,0,8800,0.04,0.04
525,GJILAN,Services,2,174,Transporti i punetoreve dhe nxenesve LOT XIII,2012,EGNATIA,Gjilan,31-Jan-12,3200,3312,Not Provided,3312,0.03,0.03
526,GJILAN,Jobs,2,89,Asfaltimi dhe rregullimi I kanalizimitatmosferikne.rr. Muharrem Kurteshi,2013,MAGJISTRALJA NTP,Gjilan,9-Oct-13,34630.96,34630.94,1200,35830.94,0.03,0.03
527,VITI,Supply,Unknown,35,Furnizim me ditar per shkollat fillore dhe te mesme te Komunes se Vitise,2011,ARTI G,Viti,27-Jul-11,7679.4,7944.4,0,7944.4,0.03,0.03
528,PRISHTINè,Services,2,215,Organizimi i manifestimit te 28 Nentorit Dita e Flamurit - pjesa teknike,2012,SONUS,Prishtine,21-Nov-12,8500,8790,Not Provided,8790,0.03,0.03
529,VITI,Supply,Unknown,3,Furnizim me dru per djegeje per shkollat e komunes se Vitise,2011,MALI,Gjilan,1-Mar-11,16480,17040,0,17040,0.03,0.03
530,PRISHTINè,Supply,2,133,Furnizimi i bufese me inventar,2011,DUGLAS,Podujeve,18-Nov-11,8500,8786,Not Provided,8786,0.03,0.03
531,VITI,Services,Unknown,95,Pastrimi I objekteve komunale,2011,ALBINI,Viti,N/A,63501.84,65560,Not Provided,65560,0.03,0.03
532,VITI,Jobs,Unknown,40,Renovimet ne shkolla,2012,S ING PROJEKT,Viti,19-Jul-12,79404,77037.14,4879,81916.14,0.03,0.03
533,FERIZAJ,Supply,1,34,"Furnizim me nje veture (kombi) per dialize dhe nje autoambulance per nevoja te QKMF ne Ferizaj.
LLOT- I - Furnizimi me nje veture (kombi) per dialize QKMF-se Ferizaj
",2014,BAHOLLI SHPK,Prishtine,13-May-14,32000,32985,Not Provided,32985,0.03,0.03
534,GJILAN,Services,2,87,Pastrimi i objekteve shkollore,2012,ARIANITI A,Gjilan,1-Oct-12,250000,257653.88,Not Provided,257653.88,0.03,0.03
535,PRISHTINè,Services,"1, 2",198,Mirembajtja e rrugeve dhe trotuareve te qytetit - pjesa e II-te,2010,TOIFOR,Prishtine,11-Nov-10,95000,97850,Not Provided,97850,0.03,0.03
536,FERIZAJ,Jobs,2,110,Rregullimi i rrethojes ne ‚erdhen e Re dhe ne shkollen fillore ne Fshatin Komogllave,2012,METALIKU & EURO TRANS NZP,Gjilan,14-Aug-12,30000,30899.14,0,30899.14,0.03,0.03
537,PRISHTINè,Services,2,101,Dezinsektimi hapsinor i Prishtines,2013,DDD,Prishtine,18-May-13,120000,123424,0,123424,0.03,0.03
538,PRISHTINè,Jobs,2,101,"Renov i kulmit ne shk. ""N.Mustafa"" dhe rreg. ventilimit dhe ngrohjes-pj. e I-re",2012,OLTI TRASING,Prishtine,1-Aug-12,15000,15419,Not Provided,15419,0.03,0.03
539,FERIZAJ,Jobs,1,65,"Rreg.i rrjetit te kanaL.fekal ne rr. ,,Qerqiz Topulli,, dhe ne Fsh.Manastirc, Komuna e Ferizajt",2011,RAHOVICA COMERC NTP,Ferizaj,27-Jun-11,24623,25274.94,0,25274.94,0.03,0.03
540,PRISHTINè,Services,2,102,Organizimi i aktiviteteve per Diten e Prishtines - pjesa artistike,2013,AMC,Prishtine,7-Jun-13,8600,8820,0,8820,0.03,0.03
541,PRISHTINè,Jobs,"1, 2",66,"Ndertimi I rruges lidhese me rrugen ""V.Fazliu""",2010,EURO GARTEN,Lipjani,11-Jun-10,100000,102526.26,Not Provided,102526.26,0.03,0.03
542,PRISHTINè,Supply,"1, 2",16,Furnizimi me kalorifer per brigaden e zjarrefiksave,2010,ITAL FERR,Lipjani,22-Mar-10,2000,2050,Not Provided,2050,0.02,0.02
543,GJILAN,Supply,2,168,Furnizim me material administrativ per zyre LOT I.,2012,ABC NTP,Gjilan,6-Feb-12,38000,38882.9,Not Provided,38882.9,0.02,0.02
544,VITI,Services,Unknown,13,Sherbimet e xhirimit per nevojat e Kuvendit dhe Komunes se Vitise,2013,ILIRIA,Viti,17-Apr-13,12000,12275,0,12275,0.02,0.02
545,VITI,Jobs,Unknown,29,Renovimi i objektit te QKMF-se - Emergjences ne Viti,2014,PRO CO GR &V.PROJEK,Viti,24-Sep-14,128693.21,119698.08,11939,131637.08,0.02,0.02
546,PRISHTINè,Services,"1, 2",198,Mirembajtja e rrugeve dhe trotuareve te qytetit - pjesa e III - te,2010,PASTRIMI,Prishtine,11-Nov-10,95000,96800,Not Provided,96800,0.02,0.02
547,VITI,Supply,Unknown,34,Furnizim me material per zyre per te gjitha njesit shpenzuese,2011,ARTI G,Viti,27-Jul-11,9797,9976.5,0,9976.5,0.02,0.02
548,FERIZAJ,Jobs,1,131,"Asfaltimi i rruges ,,Arsim Bega,, ne Ferizaj Faza e I-re",2011,COMPANY ZUKA COMMERCE,Gjilan,7-Sep-11,85500,87057.72,0,87057.72,0.02,0.02
549,PRISHTINè,Services,2,29,Riparimet e ngrohjes ne disa shkolla te Komunes se Prishtines,2012,RAKETA,Prishtine,13-Mar-12,8000,8141,Not Provided,8141,0.02,0.02
550,GJILAN,Supply,2,135,Furnizim me nje lavatriqe dhe gjenerator,2012,BETI COMMERC NTP,Gjilan,12-Dec-12,1300,1319,Not Provided,1319,0.01,0.01
551,VITI,Services,Unknown,41,"Transporti i nxenesve ne relacione te ndryshme (LOT I,II,III,IV dhe V)",2013,LOT I -MERKATORI LOT II-TAXI F.HAZIRI LOT III- TAXI H.ILAZI LOT IV-TAXI SAMAKOVA LOT V - BENI KOMERCE,Viti,2-Sep-13,28400,28806.3,0,28806.3,0.01,0.01
552,GJILAN,Design Contest,2,16,Hartimi I projektit te lumit dhe kanalizimit ne fsh.Doberqan,2012,VARNA COMMERC,Kamenice,15-May-12,5600,5678,Not Provided,5678,0.01,0.01
553,PRISHTINè,Supply,2,42,Furnizimi me regjistrator per arkiv,2012,XHAD STUDIO,Prishtine,31-May-12,7500,7600,Not Provided,7600,0.01,0.01
554,PRISHTINè,Services,Unknown,3,Mirembajtja e ngrohjes qendrore ne institucionet komunes se prishtines,2014,TERMOKOS,Prishtine,13-Feb-14,20000,253,20000,20253,0.01,0.01
555,VITI,Supply,Unknown,14,"Furnizimi me aparat per oksigjen,kablla per EKG dhe kartona per hudhjen e shiringave",2013,MADE KOS,Prishtine,19-Apr-13,3882,3930,0,3930,0.01,0.01
556,PRISHTINè,Jobs,2,84,Rikonstruimi dhe gelqerosja e disa shkollave - pjesa e I-re,2012,BENI CONSTRUCTION NN,Viti,15-Aug-12,100000,101192,Not Provided,101192,0.01,0.01
557,GJILAN,Supply,2,9,"Furnizim me far misri,pleh artificial,foli plastike dhe sgtepiza bletesh",2012,RENDIMENTI,Gjilan,13-Apr-12,63000,63750,Not Provided,63750,0.01,0.01
558,PRISHTINè,Services,Unknown,47,Mirembajtja dhe servisimi I automjeteve - Loto V,2014,AGS,Komoran,20-Oct-14,100000,101142,Not Provided,101142,0.01,0.01
559,PRISHTINè,Jobs,"1, 2",135,Shtrirja e kabllit nga TS 110-prizme 2 deri te objekti ri I Komunes,2010,BAGDAT NTSH,Viti,18-Aug-10,45000,45508,Not Provided,45508,0.01,0.01
560,PRISHTINè,Jobs,"1, 2",204,Punet e vrazhda ne ndertimin e lokaleve te nenkalimi ne rrugen ÒBill KllintonÓ,2010,BENI CONSTRUCTION NN,Viti,29-Oct-10,110000,111235,Not Provided,111235,0.01,0.01
561,VITI,Services,Unknown,23,Sherbimet e transportit per nevojat e Autoritetit kontraktues,2013,EURO TRANS,Viti,31-May-13,6050,6115.2,0,6115.2,0.01,0.01
562,FERIZAJ,Jobs,"1, 3",2,Rregullimi i korridoreve te gjelbera - projekt dyvjecar i bashkefinancuar ne mes Komunes se Ferizajt dhe UN HABITAT.,2014,IDEALI NSHP,Ferizaj,9-Jan-14,270000,272900.69,Not Provided,272900.69,0.01,0.01
563,GJILAN,Jobs,2,49,Rregullimi i shtratit te lumit Mirusha - Faza e II-te,2012,BEJTA COMMERC,Gjilan,8-Aug-12,3100000,3133170.66,Not Provided,3133170.66,0.01,0.01
564,VITI,Jobs,Unknown,45,"Hapja dhe rregullimi i rruges ne lagjen Selmani,Neziri dhe ‚eliku ne fshatin Remnik",2014,CUFA COM,Viti,3-Sep-14,2000.25,2020.5,0,2020.5,0.01,0.01
565,VITI,Supply,Unknown,68,Furnizimi me shenja komunkacioni horizontal dhe vertikal per nevojat e komunes se Vitise,2013,KROSA NSH,Ferizaj,13-Dec-13,9800,9898,0,9898,0.01,0.01
566,GJILAN,Services,2,174,Transporti i punetoreve dhe nxenesve LOY IV,2012,NITI NATI,Gjilan,31-Jan-12,4500,4544.8,Not Provided,4544.8,0.01,0.01
